"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115141572",126.135492726733,1.880330313498,0.387995351288511,4.84627021239696,1.25804144723571e-06,0.000913640020640463,"cytochrome c oxidase subunit 7A2, mitochondrial-like","gonad"
"LOCNA.2158",72.8560011859613,1.86125420194935,0.310060314938942,6.00287786689462,1.93850437024031e-09,1.75977426730415e-05,NA,"gonad"
"LOC115114450",25.8583991510283,1.83860599409203,0.417730778890302,4.40141375020598,1.07547818867677e-05,0.00218255135766116,"protein canopy-1-like, transcript variant X5","gonad"
"LOC115135792",171.433189570947,1.83732033617026,0.48124580594678,3.81784176291284,0.000134624222973733,0.00712122164301627,"ependymin-1","gonad"
"LOCNA.4116",44.6951816537096,1.83138385130877,0.496514455303609,3.68848042941452,0.000225597374761862,0.00900207898060738,NA,"gonad"
"LOC115103583",27.3753499464769,1.77605338451746,0.446702585584735,3.97591919507831,7.01079295176724e-05,0.00499793861144221,"dynein light chain 4, axonemal-like, transcript variant X3","gonad"
"LOC115138524",28.1157931786009,1.77197867742882,0.470278958932593,3.76793102002848,0.000164606170140985,0.0076045537533835,"protein FAM161B-like, transcript variant X1","gonad"
"LOC115139472",348.294552828116,1.77188680637417,0.343430862568119,5.15936975822234,2.47782522230421e-07,0.000336519162199981,"enoyl-[acyl-carrier-protein] reductase, mitochondrial-like, transcript variant X7","gonad"
"LOC115102671",26.8809340606571,1.73352030893018,0.476486644886533,3.63812989835842,0.000274624913087484,0.00989695537450744,"rho-related GTP-binding protein Rho6-like","gonad"
"LOC115142066",427.480512982859,1.71194733570929,0.465513441878564,3.67754651466301,0.000235488142783146,0.00911320380163663,"hepcidin-like","gonad"
"LOC115109112",18.4098607075139,1.69380739247412,0.432975070347531,3.91202059535338,9.15271041243099e-05,0.00571952080860213,"excitatory amino acid transporter 5-like","gonad"
"LOC115142205",54.8970645872301,1.6747248288857,0.578594229306923,2.89447205668088,0.00379796712076001,0.0451787608743502,"glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial, transcript variant X1","gonad"
"LOCNA.880",16.7312901880922,1.65435132990507,0.420287253575972,3.9362395976304,8.27683398226804e-05,0.00543559250975937,NA,"gonad"
"LOC115142005",33.7289282061508,1.63740448742411,0.36095436903641,4.53631990047735,5.72443295577902e-06,0.00180899967569013,"ubiquinol-cytochrome-c reductase complex assembly factor 2-like, transcript variant X2","gonad"
"LOCNA.2353",20.2393321615977,1.63040632087247,0.522878235231248,3.11813766765681,0.00181997770120467,0.0292679496395678,NA,"gonad"
"LOC115112239",22.9234760724145,1.60791387117761,0.561039186833432,2.86595644103375,0.00415751447128352,0.0473847035408811,"glycine cleavage system H protein, mitochondrial-like","gonad"
"LOCNA.2882",26.2845569954628,1.60125562923894,0.434958359696579,3.68139982493026,0.000231956924731998,0.00905679553856807,NA,"gonad"
"LOCNA.1500",56.35852609515,1.58831436743739,0.436243791550022,3.64088704115176,0.000271700330462515,0.00983086450956638,NA,"gonad"
"LOC115126007",217.637879207154,1.5722871957159,0.359912733325856,4.36852339506529,1.25089419017365e-05,0.00218255135766116,"glutathione S-transferase Mu 3-like","gonad"
"LOC115115989",66.8154238252447,1.57113639112448,0.460151931376305,3.41438617116144,0.000639258988934525,0.0158254715338588,"extracellular serine/threonine protein kinase FAM20C-like","gonad"
"LOC115109003",96.0454705679456,1.56695640509676,0.337559404602796,4.64201673462657,3.45024909028675e-06,0.00153069213617488,"small nuclear ribonucleoprotein F-like","gonad"
"LOCNA.2247",58.3460579357473,1.5556659401994,0.396019965199412,3.92825129262375,8.55657774290973e-05,0.00554832948215247,NA,"gonad"
"LOCNA.2592",863.424440034669,1.55156382582175,0.40078203963301,3.87134070988433,0.000108238378413152,0.0062614003978413,NA,"gonad"
"LOC115107774",33.8217001976675,1.54868347624257,0.377828828897412,4.09890235417443,4.1511410752245e-05,0.00389177933170212,"putative deoxyribonuclease tatdn3","gonad"
"LOC115124886",70.4901681298274,1.52742649699319,0.500616149742033,3.05109313349213,0.00228009837613149,0.0333044779702681,"carbonic anhydrase 4-like","gonad"
"LOC115135546",913.339769842022,1.52257174173878,0.323945431756897,4.70008709022755,2.60050563582873e-06,0.00140732001982104,"diamine acetyltransferase 1-like","gonad"
"LOC115112246",43.2790688590586,1.5172617467291,0.315771436919303,4.80493663876521,1.54800520075794e-06,0.00104868816426134,"bolA-like protein 3","gonad"
"LOC115129502",12.8717526368965,1.51351370520427,0.400607902405366,3.77804256011101,0.000158065870342768,0.00749762792688671,"secreted frizzled-related protein 3-like","gonad"
"LOC115124990",48.4226546071914,1.49921416803289,0.330636989634235,4.53432076577818,5.77891502478672e-06,0.00180899967569013,"chemokine-like receptor 1","gonad"
"LOCNA.2833",485.47610329288,1.48298299861261,0.309845623560906,4.78619959697802,1.69969028909309e-06,0.00108049073591526,NA,"gonad"
"LOC115110674",19.2734322056685,1.48069357751788,0.447742635752804,3.30701938855643,0.000942943652908321,0.0200234911838637,"forkhead box protein J1-A-like, transcript variant X2","gonad"
"LOC115126445",266.902823306166,1.47885179860151,0.518466295517378,2.85235860341849,0.00433961139878836,0.0486057893623699,"protein S100-A1-like","gonad"
"LOCNA.2655",39.7071216023837,1.46902199589695,0.336172571532714,4.36984489602832,1.24334818306501e-05,0.00218255135766116,NA,"gonad"
"LOC115103388",197.443874726661,1.46334395991169,0.309163940813685,4.73322974231837,2.20975127905916e-06,0.00125375763195619,"LYR motif-containing protein 4A","gonad"
"LOC115128326",113.453263757364,1.45960508874893,0.353203894712947,4.13247167032279,3.58883011804021e-05,0.00372335997846504,"C-type lectin domain family 4 member D-like, transcript variant X5","gonad"
"LOC115135308",18.7749812143968,1.45674455200207,0.462104840326143,3.15241136832485,0.00161927971730129,0.0270748433550811,"proto-oncogene tyrosine-protein kinase receptor Ret-like, transcript variant X1","gonad"
"LOC115107282",313.573402595412,1.45252597552293,0.311687912807168,4.66019346865583,3.15912304563786e-06,0.00153069213617488,"small integral membrane protein 8-like","gonad"
"LOC115126080",885.627957257588,1.44571366711014,0.344314863425649,4.1988128329009,2.68317980247747e-05,0.00319851227660849,"glutathione S-transferase A-like","gonad"
"LOCNA.4025",111.950728225627,1.43948627704729,0.328565192649954,4.38112833997265,1.18066298733263e-05,0.00218255135766116,NA,"gonad"
"LOCNA.1294",19.5296683017025,1.43904321352252,0.470025791250005,3.06162606459419,0.00220138271528244,0.0326005746971191,NA,"gonad"
"LOC115105616",137.039613066838,1.4373120773223,0.356061032212518,4.03670142837879,5.42079851036331e-05,0.0044333341330701,"PLAC8-like protein 1","gonad"
"LOCNA.4713",239.100974710118,1.41821743856656,0.262716582382514,5.39827911015394,6.72831391763996e-08,0.000164779347385076,NA,"gonad"
"LOCNA.2956",65.1572357481033,1.41191405059652,0.407927254279084,3.46119077797767,0.000537791551323775,0.0141920689038291,NA,"gonad"
"LOC115137242",21.0563186007368,1.41126250912749,0.452229498484399,3.12067769541171,0.00180435399890055,0.0291292593498398,"TNFAIP3-interacting protein 2-like","gonad"
"LOCNA.3095",24.4182681983267,1.40542020721801,0.410496853183888,3.42370519120261,0.000617735961625826,0.0155462162537731,NA,"gonad"
"LOC115108468",155.17895953044,1.39956151302176,0.328119236381619,4.2654052485786,1.99539684185988e-05,0.0026433638257628,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1-like","gonad"
"LOC115136856",939.139088114762,1.39782670566959,0.385122572765702,3.62956316902252,0.000283901251953358,0.0100758496294905,"high affinity immunoglobulin gamma Fc receptor I-like","gonad"
"LOCNA.2566",53.5246461024238,1.39582856961581,0.456160871699843,3.05994804949924,0.00221375387343141,0.0327303870733067,NA,"gonad"
"LOCNA.3962",14.0108976991386,1.39328610956636,0.485950866263546,2.86713370896789,0.00414207973683105,0.0472796479609776,NA,"gonad"
"LOC115119891",45.2987764668706,1.3819083137301,0.358827476543199,3.85117752699113,0.000117551244117199,0.00652679017795677,"allograft inflammatory factor 1-like","gonad"
"LOCNA.791",76.9834525641943,1.36762208164248,0.318371027042987,4.29568637053717,1.74153654398404e-05,0.0025270198192241,NA,"gonad"
"LOC115142018",210.238041483908,1.36616437514012,0.30980845636995,4.40970653657287,1.0351079520164e-05,0.00218255135766116,"mitochondrial import receptor subunit TOM6 homolog","gonad"
"LOC115135462",429.825015563902,1.35646784968713,0.320599529351998,4.23103506243083,2.32618404421862e-05,0.00291270327633333,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like","gonad"
"LOCNA.3835",255.369570837301,1.35476668431363,0.276996070528957,4.8909238377517,1.00363796617937e-06,0.000792263083215328,NA,"gonad"
"LOCNA.1892",147.945821900911,1.35097719590803,0.306013059232996,4.41476974640945,1.01117558604249e-05,0.00218255135766116,NA,"gonad"
"LOC115132723",22.2376196972471,1.35076289712109,0.46710992003494,2.89174525991667,0.0038310843917718,0.0453141161022859,"type-4 ice-structuring protein-like","gonad"
"LOC115122634",205.07395412173,1.34723498646562,0.29804889110713,4.52018117383758,6.17867317362484e-06,0.00186738236596591,"tyrosine-protein kinase HCK-like","gonad"
"LOC115140355",30.2625596884937,1.34640350373598,0.433030102295597,3.1092607571584,0.00187556110488961,0.0298707784389262,"electroneutral sodium bicarbonate exchanger 1-like, transcript variant X1","gonad"
"LOC115141228",215.630706115407,1.33620298645393,0.303465788500128,4.40314209077102,1.06694235787052e-05,0.00218255135766116,"PLAC8-like protein 1","gonad"
"LOC115101414",581.385694472651,1.33504273833908,0.288141672657948,4.63328586255521,3.59907017569542e-06,0.00153069213617488,"eukaryotic translation initiation factor 1A, X-chromosomal-like, transcript variant X1","gonad"
"LOC115105669",82.6267981239991,1.33292867088925,0.43437195560559,3.06863427458366,0.00215039667142222,0.0320021327592965,"ependymin-2","gonad"
"LOC115134679",363.180930212749,1.3251123872528,0.303418820978306,4.36727155876578,1.25808269085232e-05,0.00218255135766116,"small nuclear ribonucleoprotein F-like","gonad"
"LOC115129809",12.4538997634804,1.32303543326957,0.342878176402362,3.85861662923979,0.000114030648023072,0.0064861557025833,"uncharacterized LOC115129809, transcript variant X3","gonad"
"LOC115130780",189.171693993668,1.32080994438209,0.245293985700492,5.38459979200152,7.26060133884451e-08,0.000164779347385076,"caltractin-like","gonad"
"LOCNA.295",54.7514799742038,1.31928380327458,0.296420494289316,4.45071723680116,8.55839695447571e-06,0.00218255135766116,NA,"gonad"
"LOCNA.2009",12.781621373658,1.31911046286005,0.42204045443692,3.12555455049917,0.00177470151175639,0.028769179149508,NA,"gonad"
"LOC115109525",571.104595396265,1.3175802116848,0.249700942897112,5.27663290493741,1.31579094295559e-07,0.000265438892892241,"calcium and integrin-binding protein 1-like","gonad"
"LOC115105703",63.6306973269115,1.31671688027995,0.343892553382077,3.82886127463489,0.000128737544556819,0.00695642517551666,"uncharacterized LOC115105703, transcript variant X3","gonad"
"LOC115125102",619.785299983689,1.31637949943891,0.307412452587046,4.28212809325336,1.85114362170525e-05,0.0025270198192241,"translation machinery-associated protein 7","gonad"
"LOC115136182",264.240988860473,1.31526061201984,0.305561362462039,4.30440747292859,1.67433249985695e-05,0.00252269191169203,"CDKN2AIP N-terminal-like protein","gonad"
"LOC115111039",17.7187151672025,1.31442282505341,0.439182437476098,2.9928856732231,0.00276353250754381,0.0374910058901665,"E3 ubiquitin-protein ligase NEURL3-like","gonad"
"LOC115129731",140.303859532969,1.31233511759628,0.325821176748579,4.0277772325675,5.63066550181865e-05,0.0044941026370534,"acyl-CoA-binding protein-like","gonad"
"LOCNA.4714",577.797538583747,1.29698398641425,0.297263108029732,4.36308425559666,1.2824152445809e-05,0.00218255135766116,NA,"gonad"
"LOC115144590",16.7749586364682,1.2964214958815,0.433740580765408,2.98893290914525,0.00279953596612978,0.0377510124717298,"forkhead box protein J1-B-like","gonad"
"LOCNA.536",110.800055554932,1.29566780935147,0.252185034324791,5.13776645319393,2.78023101619284e-07,0.000336519162199981,NA,"gonad"
"LOC115110561",54.1719802965229,1.29405191338087,0.283923681977632,4.55774560391485,5.1705610828174e-06,0.00177141334937726,"tissue factor pathway inhibitor-like, transcript variant X2","gonad"
"LOCNA.3493",313.391136867418,1.29353109934846,0.300916116808891,4.29864346604594,1.71846650301624e-05,0.0025270198192241,NA,"gonad"
"LOC115136646",58.0516347191519,1.29326441550124,0.260596502986603,4.96270825079997,6.95169652740764e-07,0.000616922529392959,"dehydrogenase/reductase SDR family member 13-like","gonad"
"LOCNA.4435",13.0189143736484,1.29132276294954,0.408875033954186,3.15823333711843,0.00158728453029602,0.0266840166037542,NA,"gonad"
"LOC115113332",1219.49072922631,1.28774284037,0.277271151579615,4.64434483368976,3.41157336951258e-06,0.00153069213617488,"calmodulin","gonad"
"LOC115104627",117.763089018725,1.28763009628474,0.282890196494264,4.55169571883999,5.32152614627791e-06,0.00177702136443741,"CDKN2AIP N-terminal-like protein","gonad"
"LOC115136251",39.1490833100559,1.28660453238838,0.294395503437354,4.37032671140021,1.24060775253092e-05,0.00218255135766116,"pterin-4-alpha-carbinolamine dehydratase 2-like","gonad"
"LOC115133109",48.6032352964014,1.28632058542036,0.34257356202248,3.75487407091838,0.000173428652331775,0.00780877889739756,"secretin receptor-like","gonad"
"LOC115139187",916.68873194104,1.28437472429291,0.273501276927604,4.69604653667809,2.65245135687548e-06,0.00140732001982104,"splicing factor 3B subunit 6","gonad"
"LOC115144342",85.4102136511582,1.28285925071368,0.282173541149911,4.54634848287257,5.45846320794033e-06,0.00177702136443741,"zinc finger and BTB domain-containing protein 18-like, transcript variant X3","gonad"
"LOC115101109",199.225064946527,1.28034622288921,0.362069431879587,3.53618977510098,0.000405942966020034,0.0122024842567214,"electrogenic sodium bicarbonate cotransporter 1-like, transcript variant X5","gonad"
"LOC115138589",28.518206484577,1.27981560683085,0.38003434417696,3.36763144289643,0.000758168755332638,0.0175728330665748,"tumor necrosis factor alpha-induced protein 2-like, transcript variant X1","gonad"
"LOC115124540",831.267299174987,1.27926973035945,0.279870825544776,4.57092920589104,4.85566312555454e-06,0.0017287169691221,"crustapain-like","gonad"
"LOC115140478",133.177965753821,1.27859527245836,0.282732925820939,4.52227227778954,6.11792911192862e-06,0.00186738236596591,"signal recognition particle 9 kDa protein-like","gonad"
"LOCNA.1343",36.1079085309169,1.27624810217267,0.327827245257779,3.89305074741156,9.89914343806341e-05,0.00603116940474763,NA,"gonad"
"LOC115134326",316.57611167799,1.27333425142026,0.284397995029602,4.47729686451453,7.55940986862013e-06,0.0020352048314984,"heat shock factor-binding protein 1-like","gonad"
"LOC115135550",460.628492050863,1.27148903749159,0.26141318332208,4.86390556640376,1.15091840368163e-06,0.000870669772385155,"eukaryotic translation initiation factor 1A, X-chromosomal-like","gonad"
"LOC115120705",88.9813406400006,1.27087045829953,0.287631152743414,4.41840338286732,9.94327117286216e-06,0.00218255135766116,"rho GTPase-activating protein gacJ-like","gonad"
"LOC115127689",305.905176202937,1.26693427322812,0.284650394306573,4.45084320474754,8.55337776163134e-06,0.00218255135766116,"DNA-directed RNA polymerases I, II, and III subunit RPABC4","gonad"
"LOCNA.3982",18.9313879048368,1.26635462553461,0.410110225394788,3.08783967606653,0.00201617209956418,0.0310480242915075,NA,"gonad"
"LOC115129313",4349.79303025042,1.26603090785974,0.31444751944084,4.02620733059378,5.66837135869811e-05,0.0044941026370534,"C-X-C motif chemokine 14-like","gonad"
"LOC115105695",34.0992085190658,1.26439121211546,0.348379836421388,3.62934670704105,0.000284139403519451,0.0100758496294905,"ATP-sensitive inward rectifier potassium channel 15-like, transcript variant X2","gonad"
"LOCNA.1489",63.0771968906027,1.26385530249869,0.346327506959452,3.64930673163844,0.000262948983464484,0.0096239161883953,NA,"gonad"
"LOCNA.4275",12.3387426721875,1.25229550709972,0.433308949081564,2.89007533713317,0.00385149512685661,0.0454608458330924,NA,"gonad"
"LOC115112262",75.4604258055194,1.24838230975099,0.284621980600317,4.38610646696341,1.15397653947408e-05,0.00218255135766116,"uncharacterized LOC115112262, transcript variant X2","gonad"
"LOC115113961",1189.97716830361,1.2458946115123,0.278750875232,4.46956304791998,7.83795532838836e-06,0.00206240459336549,"protein transport protein Sec61 subunit gamma-like, transcript variant X1","gonad"
"LOC115120139",12.8001076404656,1.2443628332965,0.338567506303791,3.67537584123608,0.000237499521551946,0.00911320380163663,"myomegalin-like","gonad"
"LOCNA.2439",20.6802871271686,1.2440292549167,0.402615088934648,3.08987240942335,0.00200242495768778,0.0309413000270463,NA,"gonad"
"LOCNA.3348",289.310636755417,1.24010966666528,0.284233386748151,4.36299789005468,1.28292181289677e-05,0.00218255135766116,NA,"gonad"
"LOC115137310",598.761957507537,1.23711866745865,0.33057031705021,3.74237674603658,0.000182287947846612,0.00805260336034815,"endonuclease domain-containing 1 protein-like","gonad"
"LOC115101778",1657.99673609753,1.23614639874149,0.271950658714161,4.54548043599619,5.48100883501295e-06,0.00177702136443741,"protein transport protein Sec61 subunit gamma-like","gonad"
"LOC115115324",24.3866452350432,1.23500172761943,0.397786051923754,3.10468836613745,0.00190479597762276,0.0301406484732059,"cyclin-dependent kinase 4 inhibitor B-like","gonad"
"LOC115132445",107.888099525833,1.23385729220013,0.287555370040221,4.29085115686608,1.77989588517041e-05,0.0025270198192241,"prefoldin subunit 4-like","gonad"
"LOC115115036",20.5857660144939,1.2313576156657,0.408593971575745,3.01364606755446,0.00258128748772877,0.036050658174772,"PHD finger protein 20-like protein 1","gonad"
"LOC115128226",15.4070802549174,1.22835168172084,0.392080574585855,3.13290624769746,0.00173084718093693,0.028411982333393,"probable C-mannosyltransferase DPY19L1","gonad"
"LOC115106174",26.4073464231263,1.22824668289113,0.356983622052398,3.4406247430333,0.000580372839176008,0.0148203224586211,"DPY30 domain-containing protein 1-like, transcript variant X1","gonad"
"LOC115119078",200.613835179337,1.22630337022065,0.340124485525585,3.60545453916873,0.00031160703905329,0.0105705448126154,"cytochrome b-245 heavy chain, transcript variant X1","gonad"
"LOC115105959",36.4313086552328,1.22070726262874,0.311158491817298,3.92310444590245,8.74152318829253e-05,0.00556881035111015,"C3a anaphylatoxin chemotactic receptor","gonad"
"LOC115131938",675.952329427201,1.21948647730769,0.321527466095567,3.79279099268373,0.000148963530974114,0.00740681895227518,"ATP synthase subunit epsilon, mitochondrial-like","gonad"
"LOC115103048",14.5008597560186,1.21188157591309,0.322444516370869,3.75841893530362,0.000170990417809056,0.00777456929862759,"protein N-lysine methyltransferase FAM173B-like","gonad"
"LOC115103239",700.852707337494,1.21064517066328,0.317147745371777,3.81729080004682,0.000134925107138004,0.00712122164301627,"ubiquitin-60S ribosomal protein L40-like","gonad"
"LOC115133149",429.835363050627,1.20796966212435,0.276016043673807,4.37644727475303,1.20629353912493e-05,0.00218255135766116,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5-like","gonad"
"LOC115143105",56.7753724889643,1.20566111628045,0.330614601645934,3.64672676366434,0.000265602089997496,0.00966387083365637,"uncharacterized LOC115143105, transcript variant X2","gonad"
"LOC115145844",156.920731128396,1.205604496765,0.361658111106724,3.33354751280341,0.000857460253175439,0.0188842932970584,"small nuclear ribonucleoprotein E","gonad"
"LOC115129520",302.433754992331,1.20261667111771,0.251896046519196,4.7742578247494,1.80371186060554e-06,0.00108049073591526,"caltractin","gonad"
"LOC115136026",15.5028522119068,1.19972372626504,0.37139588465836,3.23030969330379,0.00123656195111877,0.0233136228291924,"cytotoxic and regulatory T-cell molecule-like, transcript variant X2","gonad"
"LOC115105627",455.114912540158,1.19759375132488,0.310824260367737,3.85296099444749,0.000116697986322334,0.0065192881220563,"asialoglycoprotein receptor 1-like","gonad"
"LOC115111377",163.286523284183,1.19285306841456,0.309681344915483,3.85187253930361,0.000117218034682437,0.00652679017795677,"uncharacterized protein C9orf85 homolog","gonad"
"LOC115101638",1333.80473976525,1.19215333727493,0.275124454917711,4.33314202342172,1.4699621321189e-05,0.00238108734339215,"ATP synthase subunit epsilon, mitochondrial-like","gonad"
"LOCNA.1648",20.894352703404,1.1895059439914,0.322466366228106,3.68877522919699,0.000225336178323178,0.00900207898060738,NA,"gonad"
"LOC115142640",215.724873844864,1.18923223341764,0.259554695769326,4.5818174465799,4.60952209233224e-06,0.00171847581893911,"protein dpy-30 homolog, transcript variant X1","gonad"
"LOCNA.800",175.780073275888,1.18899592467132,0.260121969151684,4.57091697617431,4.85594654247781e-06,0.0017287169691221,NA,"gonad"
"LOC115105844",23.1013430586346,1.18757585325688,0.355980666690389,3.33606840028131,0.000849722544817243,0.0188141006386608,"calcineurin B homologous protein 3-like, transcript variant X1","gonad"
"LOCNA.1749",118.057036418834,1.18730891595519,0.282897263319128,4.19696147649126,2.70519926603196e-05,0.00319851227660849,NA,"gonad"
"LOC115105604",70.9437804320057,1.18307457307865,0.30557687316523,3.87161031142219,0.000108118707242464,0.0062614003978413,"ribonuclease kappa-B","gonad"
"LOC115110163",252.736596014499,1.18282458177924,0.280863726059618,4.21138250344283,2.53812559048405e-05,0.00310508618788467,"coatomer subunit zeta-1-like, transcript variant X1","gonad"
"LOC115109493",151.043422246838,1.18038094035314,0.265685087679065,4.44278205700045,8.88031057856401e-06,0.00218255135766116,"dynein light chain roadblock-type 2","gonad"
"LOC115139447",24.5584384827779,1.18000827753995,0.312183125218449,3.77985926277803,0.000156917029014769,0.00749762792688671,"gap junction alpha-1 protein-like","gonad"
"LOCNA.4165",215.249240371972,1.17776773278688,0.283830782267322,4.14954193262101,3.33141258771195e-05,0.00353926596494041,NA,"gonad"
"LOC115115971",36.1221945064996,1.1775419531383,0.255940999601166,4.60083360998538,4.2080347503805e-06,0.00162555487080656,"homeobox protein Hox-A10-like","gonad"
"LOC115143251",72.4602369441099,1.17665184002061,0.271659108451428,4.33135427237477,1.48195015313568e-05,0.00238108734339215,"mRNA turnover protein 4 homolog","gonad"
"LOC115142983",358.598657553992,1.17580563247197,0.274442676531921,4.28433961995415,1.83282762886509e-05,0.0025270198192241,"ubiquinol-cytochrome-c reductase complex assembly factor 2","gonad"
"LOC115102348",124.57667131529,1.1726502957501,0.412775632556378,2.84089031246277,0.00449877830380025,0.0497744173575852,"tumor necrosis factor receptor superfamily member 9-like, transcript variant X2","gonad"
"LOC115139738",46.2791963745591,1.17213984538454,0.267654242820226,4.37930605184477,1.19057827932961e-05,0.00218255135766116,"prefoldin subunit 5-like, transcript variant X2","gonad"
"LOC115105999",42.8906136495307,1.17158617494286,0.403862441319143,2.90095353040527,0.00372029044199891,0.0445551406760767,"programmed cell death 1 ligand 1-like","gonad"
"LOCNA.3035",444.130205442237,1.16927699634132,0.285194081419753,4.09993429919873,4.13267445297815e-05,0.00389177933170212,NA,"gonad"
"LOCNA.3824",528.715382570964,1.16531354247437,0.27281577302265,4.27143023866741,1.94223286851635e-05,0.00259288087946933,NA,"gonad"
"LOC115129780",12.3552128660082,1.1643375534743,0.385256751169843,3.02223789703556,0.00250913269922012,0.035534955762122,"toll-like receptor 13","gonad"
"LOC115111612",15.5134198066744,1.1638285342513,0.334381322429541,3.48054288976184,0.0005003986995421,0.0135920554237088,"dual specificity protein phosphatase 18-like","gonad"
"LOC115129910",208.942561842984,1.16253829645229,0.284932749495806,4.0800444964976,4.50270807895472e-05,0.00404708751888623,"mitochondrial import receptor subunit TOM5 homolog","gonad"
"LOC115132180",68.5997587092106,1.15840355670201,0.2880806156797,4.02110900092621,5.79247921741938e-05,0.00455273821088598,"tyrosine-protein phosphatase non-receptor type 18-like, transcript variant X1","gonad"
"LOC115103043",21.1910051760001,1.15822116294939,0.400001921485916,2.89553899802997,0.00378507995675671,0.0450635486523769,"contactin-associated protein-like 2","gonad"
