"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115130477",169.720784417405,0.458225360569508,0.21140237255495,0.00114060721428308,0.0652607246375667,"lysozyme g-like","liver"
"LOC115144160",50.8693754162633,0.45574769879236,0.25161998222014,0.00231990285098917,0.0874718206451658,"protein Tob1-like","liver"
"LOC115135049",94.6064474653255,0.452538369719642,0.14890971594222,0.000114146081588652,0.0317880970231548,"bladder cancer-associated protein, transcript variant X2","liver"
"LOC115118779",172.382657034697,0.449090392294622,0.245346119796612,0.202974340277371,0.525034415798121,"carnitine O-acetyltransferase-like","liver"
"LOC115105069",181.193886984798,0.442360804744745,0.154817345704875,0.000203477137232104,0.0441858429543254,"eukaryotic translation initiation factor 1b","liver"
"LOC115139187",143.999694322358,0.439826714774954,0.129972088090346,3.76913445262022e-05,0.0266090237591685,"splicing factor 3B subunit 6","liver"
"LOCNA.2076",50.1634035257091,0.435375187603902,0.227124630427429,0.00194590170388027,0.0796127610152755,NA,"liver"
"LOC115109447",704.51609107576,0.435035611698116,0.216688510398699,0.00161836503349507,0.0743418187958598,"ADP-ribosylation factor 4-like","liver"
"LOCNA.4406",158.25734298771,0.433373596078337,0.142510322412179,0.000118234154708865,0.0317880970231548,NA,"liver"
"LOC115141548",123.209165585089,0.432893826346274,0.242138715175966,0.00241686220698652,0.0874718206451658,"flavin reductase (NADPH)-like, transcript variant X2","liver"
"LOC115147159",403.724922292986,0.429659458357845,0.264878825204995,0.00320741782070414,0.0987738039047335,"phosphatidylinositol 3-kinase regulatory subunit alpha-like, transcript variant X1","liver"
"LOC115143174",80.8883605309104,0.427061264797076,0.125495434926225,0.311918418347821,0.625589761833472,"signal transducer and activator of transcription 1-alpha/beta-like, transcript variant X1","liver"
"LOC115138705",700.210109238123,0.424889087506904,0.133782141692034,7.83231488010362e-05,0.0290814747470147,"proteasome subunit alpha type-3","liver"
"LOCNA.357",193.309710071905,0.423904546366418,0.170404874570087,0.000578647771456737,0.0524348943481573,NA,"liver"
"LOC115116225",40.7909561281606,0.42026293845113,0.170708401510747,0.788886456319893,0.928374540673857,"nicotinamide phosphoribosyltransferase-like","liver"
"LOC115135968",118.176869419857,0.418853072519236,0.138376990621787,0.000127072854897413,0.0326115153977633,"malate dehydrogenase, mitochondrial-like","liver"
"LOC115111363",98.3469336555325,0.418667716500879,0.135831284232171,0.000108841121123794,0.0317880970231548,"glutaredoxin-1-like, transcript variant X1","liver"
"LOC115123135",47.6757598714433,0.415500949573243,0.181564136051723,0.000960192604158573,0.0616904042174136,"syndecan-4-like","liver"
"LOCNA.1183",121.315096438226,0.414648671648075,0.209829206245141,0.00182276140452474,0.0773782773680201,NA,"liver"
"LOC115140067",42.96553516248,0.413881130993105,0.157132288097236,0.000404362561251506,0.051347224138231,"26S proteasome non-ATPase regulatory subunit 9-like","liver"
"LOCNA.3763",42.9962955828453,0.411264962922426,0.230750941348471,0.00260215937623582,0.0918236989889214,NA,"liver"
"LOC115147101",65.6823138431096,0.411241333531538,0.193564414994423,0.00135344697658134,0.0676244392015773,"dolichol phosphate-mannose biosynthesis regulatory protein-like, transcript variant X2","liver"
"LOC115140097",81.1122763616699,0.406660902820807,0.143096730755893,0.000228249254223541,0.0460248317623611,"transcobalamin-2-like","liver"
"LOCNA.3726",51.7896821508788,0.405226449051303,0.155280464429452,0.00044414114942443,0.051347224138231,NA,"liver"
"LOC115132717",76.6393436159539,0.397883340495807,0.147991453529982,0.000353389918377811,0.051347224138231,"ras-related protein Rab-39B-like","liver"
"LOC115107636",84.8333385619588,0.396435157079899,0.14123967955045,0.000257584384359063,0.0497908750353265,"COP9 signalosome complex subunit 8-like, transcript variant X1","liver"
"LOC115101639",40.2833201049163,0.395786162576741,0.153729260175017,0.000483132510111825,0.0514672858885163,"mRNA export factor, transcript variant X2","liver"
"LOC115142782",62.9232902367079,0.392319739907334,0.196264805137524,0.0018208635297769,0.0773782773680201,"myosin regulatory light polypeptide 9","liver"
"LOC115133187",275.556666573045,0.388367278178569,0.220484648472971,0.00278128877030103,0.0923574530967177,"aldo-keto reductase family 1 member B1-like","liver"
"LOC115110214",169.6555699466,0.387646007475533,0.201058058018639,0.00212356600229019,0.085111259150325,"nucleoside diphosphate kinase A-like","liver"
"LOC115135462",42.7807655211516,0.386714006753581,0.373356908228841,0.00618784658678752,0.127972827212463,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like","liver"
"LOC115104196",106.875930269911,0.384954331827103,0.144643723901781,0.000400117300498602,0.051347224138231,"SUMO-conjugating enzyme UBC9-B, transcript variant X2","liver"
"LOCNA.3574",283.993417182409,0.384462243598263,0.14267947055981,0.000366294025887536,0.051347224138231,NA,"liver"
"LOC115121896",83.8215562505802,0.380661341473904,0.145845224686279,0.000458436292863429,0.051347224138231,"vacuolar protein sorting-associated protein 29, transcript variant X2","liver"
"LOC115132815",158.184996508307,0.377922055184073,0.182958386734104,0.00165799951526572,0.0754924617999214,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial-like","liver"
"LOC115109368",21560.2011986255,0.376666849606152,0.193284249136358,0.00235418239655861,0.0874718206451658,"metallothionein A","liver"
"LOC115111365",91.1797224554729,0.373743232744347,0.169757771296266,0.00126498587420725,0.0670100982935273,"osteoclast-stimulating factor 1-like","liver"
"LOC115138061",51.945110279101,0.371698349545633,0.184824023076883,0.665528508356667,0.865202385029183,"placenta-specific gene 8 protein-like, transcript variant X2","liver"
"LOC115110656",73.048111008013,0.369485039449914,0.150121565912648,0.000706229330443334,0.0541021640826526,"SEC14-like protein 1, transcript variant X2","liver"
"LOC115110056",72.4125409997342,0.368730372518909,0.425717531299444,0.00714252920116984,0.131786666241193,"ferritin, middle subunit-like","liver"
"LOC115112959",335.047571698218,0.365291308811406,0.21467889271517,0.00318524352828921,0.0987738039047335,"cell cycle control protein 50C-like","liver"
"LOC115112928",104.181276359076,0.364655582820427,0.168314830251947,0.907221659661821,0.969582154056351,"myocardin-related transcription factor A-like, transcript variant X4","liver"
"LOC115138148",46.0042446110076,0.363067182084392,0.185608936530548,0.00216520289393709,0.0860896868955551,"Y-box-binding protein 2-A-like, transcript variant X3","liver"
"LOC115114956",643.122525833237,0.360929818471378,0.267368795338938,0.00534859990921892,0.117502704620428,"40S ribosomal protein S17-like","liver"
"LOCNA.1676",106.345275197893,0.358717641037408,0.231275897309714,0.00418272051822599,0.107371334664048,NA,"liver"
"LOCNA.2044",62.2699235784404,0.358334728516764,0.295651198263109,0.00603130189599865,0.126590076226053,NA,"liver"
"LOC115126009",252.464003404165,0.358019860293725,0.140924403540855,0.000585628005462292,0.0524348943481573,"ATP synthase F(0) complex subunit B1, mitochondrial-like","liver"
"LOC115134514",107.365890738346,0.356723020900639,0.133946726739312,0.000428993683539953,0.051347224138231,"40S ribosomal protein S13","liver"
"LOC115116869",559.328758645918,0.356521314785994,0.123241230194777,0.00021568488317467,0.0451021055705255,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115114120",55.4078827367149,0.356268206287531,0.390455013055084,0.00730577140003292,0.13236465848488,"mesoderm induction early response protein 1-like, transcript variant X1","liver"
"LOC115132128",363.373681509995,0.355290176512551,0.551185425950562,0.00765345024081378,0.133781362413729,"neurotensin receptor type 1-like","liver"
"LOCNA.1759",44.1028096034287,0.354837340565752,0.133311268314528,0.000439204942058856,0.051347224138231,NA,"liver"
"LOC115112920",65.1284244089856,0.352050146625391,0.105708906036243,5.55437163806237e-05,0.0266090237591685,"renin receptor-like","liver"
"LOC115106415",338.497566742022,0.351747345805806,0.230687338700271,0.00427384626592881,0.107371334664048,"zinc transporter ZIP11-like, transcript variant X2","liver"
"LOC115105093",52.0343433136211,0.351085253267246,0.159061685188069,0.00131723087011075,0.0670100982935273,"cullin-2-like, transcript variant X2","liver"
"LOC115145216",204.780302746805,0.350365523125193,0.123633145784173,0.000268383879766034,0.0497908750353265,"V-type proton ATPase 16 kDa proteolipid subunit","liver"
"LOC115121200",611.625340051307,0.348904251380428,0.238200679099967,0.00495589058902784,0.113402271416919,"transcription factor BTF3, transcript variant X2","liver"
"LOC115110978",1606.54115977384,0.347969389273611,0.170851068696976,0.00190538661520269,0.0796127610152755,"cytochrome c oxidase subunit 7C, mitochondrial-like","liver"
"LOCNA.1533",731.06682744857,0.347049278638993,0.185324556207977,0.00262569069169189,0.0920785692254188,NA,"liver"
"LOC115123317",75.3482378700742,0.34615508811937,0.147008636859012,0.000982935010707468,0.062218425324878,"cytochrome c, transcript variant X1","liver"
"LOC115131775",1336.90479125622,0.345372878085765,0.157886735065266,0.00114203426710855,0.0652607246375667,"40S ribosomal protein S27","liver"
"LOCNA.1800",67.9021499002825,0.345208715926076,0.113563828092186,0.000145892367850471,0.0358134047340766,NA,"liver"
"LOC115140758",171.694610596652,0.343989048451429,0.153001847568634,0.00124038495044157,0.0670100982935273,"tumor necrosis factor receptor superfamily member 1A-like, transcript variant X3","liver"
"LOC115132418",125.043507466417,0.342429146166799,0.139607365862702,0.000768633294856236,0.0562441821506916,"serine/threonine-protein kinase PINK1, mitochondrial-like","liver"
"LOC115125925",76.5594708916325,0.341203895882373,0.141483496803814,0.000846301598268331,0.0582709612661341,"peptidyl-prolyl cis-trans isomerase A-like","liver"
"LOC115145882",67.8220315411759,0.3404581142172,0.161755764722362,0.00171591188139207,0.0768067701100784,"MICOS complex subunit Mic10-like","liver"
"LOCNA.3650",65.2671928821802,0.33728930676521,0.237789236624165,0.00519828903054766,0.116147836618133,NA,"liver"
"LOC115120964",679.334056449519,0.335153473921733,0.138800746199609,0.000887169583803777,0.0603489092789895,"cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","liver"
"LOC115108361",39.8870555138663,0.334293567729306,0.256183064634552,0.00593097989628977,0.125888392836286,"alpha/beta hydrolase domain-containing protein 17A-like, transcript variant X2","liver"
"LOC115101234",262.800734807576,0.333533591824198,0.14044157187255,0.000961522417841373,0.0616904042174136,"BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like","liver"
"LOC115140186",155.996380722397,0.331678568669165,0.124743839503646,0.000477871978136992,0.0514672858885163,"dynein light chain 1, cytoplasmic-like","liver"
"LOC115113712",765.507935780703,0.331034211333395,0.130453422599488,0.000644644927740964,0.0525619517864729,"ferritin, heavy subunit-like","liver"
"LOCNA.2977",104.080672406611,0.327331808252759,0.142641588969621,0.00119500400515213,0.0668019070602866,NA,"liver"
"LOC115138170",325.028728089755,0.327085977943436,0.166850355675766,0.00239142662459407,0.0874718206451658,"ependymin-like","liver"
"LOC115102205",485.663604983162,0.326439125027153,0.165646233022015,0.00235776719902152,0.0874718206451658,"60S ribosomal protein L22","liver"
"LOC115131682",54.3220645629895,0.326416308669398,0.167407480955977,0.00240421670949267,0.0874718206451658,"elongin-A-like","liver"
"LOCNA.3313",398.110129019525,0.324083978067788,0.143156562697043,0.00129243155440795,0.0670100982935273,NA,"liver"
"LOCNA.957",43.6297492450123,0.323973027474007,0.188714602968888,0.00369898926324293,0.103902952140645,NA,"liver"
"LOC115103192",66.905700812383,0.323397419252792,0.211400904951093,0.00484582740548769,0.112590705890467,"transmembrane protein 56-B-like, transcript variant X2","liver"
"LOC115142321",89.2864026483265,0.322442836996349,0.169022462139952,0.00272529935169744,0.0922501561369391,"MAP kinase-activated protein kinase 2-like","liver"
"LOC115110806",662.366194763291,0.321643715877427,0.141969068662719,0.00129729716843538,0.0670100982935273,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115114211",842.194092606941,0.32025102588655,0.187834243263681,0.00382502424329644,0.105366345687893,"40S ribosomal protein S28","liver"
"LOC115101480",137.094698707325,0.31990742496847,0.153843627728029,0.00193388729942991,0.0796127610152755,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like","liver"
"LOCNA.1295",301.818280216943,0.319669383738925,0.175452062626752,0.00315417767124207,0.0987738039047335,NA,"liver"
"LOC115102139",713.10469079888,0.318782847995961,0.189294253483724,0.00400241368915292,0.1069299713232,"nascent polypeptide-associated complex subunit alpha-like, transcript variant X1","liver"
"LOC115101429",1129.86188689661,0.318565026470599,0.288558031251107,0.00747675483297212,0.132747665996731,"ADP/ATP translocase 2-like","liver"
"LOC115131703",47.6417398541796,0.31829215440722,0.264741548892571,0.00685947282254432,0.13158210304148,"prolyl endopeptidase-like","liver"
"LOC115145073",96.011369336583,0.317334140082179,0.234617893798936,0.00607533672754281,0.127042041347062,"peroxiredoxin-6-like","liver"
"LOC115102637",150.166976849513,0.317204839823494,0.28903441779393,0.00753619877284174,0.13307106319819,"keratin, type II cytoskeletal 8-like","liver"
"LOC115122703",93.9453310222085,0.316481913298152,0.130203702485554,0.000912611277341723,0.0613405151413258,"pyridoxal phosphate homeostasis protein-like, transcript variant X1","liver"
"LOC115138930",247.348124609799,0.314401760880466,0.119827695630511,0.00054429558348143,0.0524348943481573,"ATPase inhibitor B, mitochondrial-like, transcript variant X2","liver"
"LOC115143167",66.2406955859994,0.314204663677509,0.116122008544399,0.000440090232762081,0.051347224138231,"GTP-binding protein Rheb-like","liver"
"LOC115129029",66.222080311856,0.311658931349516,0.194132269295723,0.00467120751347213,0.111865573814556,"thioredoxin-like protein 4A","liver"
"LOC115142868",132.139874556434,0.310887240400413,0.121133369041632,0.00065007455383244,0.0525619517864729,"cytochrome c1, heme protein, mitochondrial-like","liver"
"LOC115119183",101.811365475874,0.309029599331524,0.202636827703329,0.00522521262858761,0.116147836618133,"hydroxyacylglutathione hydrolase, mitochondrial-like","liver"
"LOC115141895",52.4232291595452,0.309026175061963,0.172214897610268,0.00339192271228405,0.101326961024105,"vasodilator-stimulated phosphoprotein-like, transcript variant X2","liver"
"LOC115143985",149.714335201736,0.307920268520348,0.110037227210863,0.000347972117627779,0.051347224138231,"ADP-ribosylation factor 1","liver"
"LOC115142589",99.382477783106,0.30636531094797,0.110835675347479,0.000386280733621774,0.051347224138231,"phosphoribosyl pyrophosphate synthase-associated protein 1-like, transcript variant X2","liver"
"LOC115101900",100.121047264529,0.30632378364827,0.121947572379438,0.000762457964262887,0.0562441821506916,"gamma-secretase subunit PEN-2","liver"
"LOC115135016",283.984900242854,0.304074617035918,0.128225854632107,0.00110132780094232,0.0652607246375667,"cytochrome c1, heme protein, mitochondrial-like","liver"
"LOC115139625",82.9731148521565,0.303264076554299,0.125861462714163,0.000991792114636738,0.062218425324878,"5'-3' exoribonuclease 2-like","liver"
"LOC115117228",12862.3128120475,0.30041529646146,0.21251099828537,0.00944854233630817,0.149849634917966,"gamma-aminobutyric acid type B receptor subunit 2-like, transcript variant X1","liver"
"LOC115144376",328.080197415305,0.299037478342238,0.20071821158638,0.00565231558019708,0.122742206791511,"cytochrome c oxidase assembly protein COX14 homolog","liver"
"LOCNA.4319",79.4010147603519,0.298679347544095,0.344895228023787,0.00884993881041524,0.14558791872021,NA,"liver"
"LOC115118407",145.306938415996,0.297961121614316,0.443549765895607,0.0091031352799556,0.146846576544655,"c-Myc-binding protein-like","liver"
"LOC115108282",448.938976710955,0.297843179912796,0.144065103322364,0.00218984736899503,0.0864606870303913,"ATP synthase subunit delta, mitochondrial-like, transcript variant X1","liver"
"LOCNA.4062",190.624500402747,0.297420078776363,0.113593125905652,0.000592251899888888,0.0524348943481573,NA,"liver"
"LOC115146361",491.230865527366,0.296116371945015,0.135968418092656,0.00177198037178588,0.0773782773680201,"cytochrome c oxidase subunit 7A2, mitochondrial-like","liver"
"LOC115145804",47.2888800859716,0.296078040278073,0.277048290500462,0.00835265446097859,0.140730428172076,"mRNA turnover protein 4 homolog","liver"
"LOCNA.3783",95.8529032742696,0.295842186069243,0.118185362783611,0.000806903782183142,0.0562441821506916,NA,"liver"
"LOCNA.2058",68.9687060755248,0.295422922526058,0.33046617615333,0.00887039391423171,0.14558791872021,NA,"liver"
"LOC115129427",1188.89348656547,0.295071871554702,0.164608917075708,0.00381848041650572,0.105366345687893,"ADP/ATP translocase 2-like","liver"
"LOC115103239",275.552708701141,0.293219524012604,0.152241493441045,0.00294613303653661,0.0961495209496283,"ubiquitin-60S ribosomal protein L40-like","liver"
"LOC115102499",61.053872350021,0.291321790017122,0.147002927592918,0.00270377437413189,0.0922501561369391,"transcription initiation factor TFIID subunit 8-like","liver"
"LOC115115084",129.996283159779,0.290416081401374,0.126746257013067,0.00138374002168015,0.0676872164904322,"uncharacterized LOC115115084","liver"
"LOC115137610",60.5012822499812,0.28994256201957,0.162210193194981,0.00385974712952602,0.105366345687893,"dehydrogenase/reductase SDR family member 11-like","liver"
"LOC115146927",52.9850741572771,0.289077854708754,0.166426167145123,0.173764060969113,0.491765357509579,"protein mono-ADP-ribosyltransferase PARP14-like","liver"
"LOC115134211",44.6860075302028,0.288815158468146,0.117175478098777,0.000936273793594073,0.0614674632399085,"serine/threonine-protein kinase 17B-like","liver"
"LOC115132550",120.331132873945,0.28574174358917,0.17134115650967,0.00471116785139156,0.111865573814556,"ATP synthase F(0) complex subunit B1, mitochondrial-like","liver"
"LOC115132503",278.287297908528,0.285022069483205,0.159028848815939,0.00391516616240671,0.105750221684497,"myosin light polypeptide 6-like","liver"
"LOC115101740",155.084673277335,0.28432925560823,0.147543403165259,0.00308244006074287,0.0987738039047335,"succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like, transcript variant X1","liver"
"LOC115103161",349.845892906869,0.283756807100051,0.196191165704107,0.00639709942908457,0.129820117445214,"T-complex protein 1 subunit gamma-like, transcript variant X1","liver"
"LOCNA.1680",141.127740410038,0.283608770069494,0.149072843385885,0.00315662500868296,0.0987738039047335,NA,"liver"
"LOC115102020",114.230862607734,0.28300964756062,0.169704141976565,0.00482206615292069,0.112590705890467,"40S ribosomal protein S23","liver"
"LOC115135586",64.8317819903526,0.282847242795382,0.195166284652821,0.00636464714735915,0.129820117445214,"proteasome subunit beta type-6-like, transcript variant X3","liver"
"LOC115106648",122.338210324329,0.282762350510756,0.121969109930611,0.00134556930141563,0.0676244392015773,"ras-related protein Rab-5C, transcript variant X4","liver"
"LOCNA.97",1685.63512493942,0.282492144939118,0.148382518701501,0.00327677821244836,0.0995647716499112,NA,"liver"
"LOC115110534",167.652561641131,0.281744630525728,0.125703581851075,0.0016195614084114,0.0743418187958598,"transmembrane protein 106B-like, transcript variant X4","liver"
"LOC115116667",88.4393854548743,0.281046712837719,0.155539966283319,0.00386305943276548,0.105366345687893,"proteasome subunit alpha type-1-like","liver"
"LOCNA.4201",64.8486179578886,0.280982145784318,0.258374695760687,0.00898542963992402,0.14643816373217,NA,"liver"
"LOC115104936",92.4194988837223,0.280049304210632,0.150754947564965,0.00361355971480336,0.103369826271887,"mitochondrial fission regulator 1-like","liver"
"LOC115102966",941.166681436714,0.279911046962441,0.175650007830691,0.00441855479716289,0.108269851317313,"CCAAT/enhancer-binding protein delta-like","liver"
"LOC115110327",146.12802801956,0.279896482402223,0.15013269855208,0.00352202116659035,0.102308304401603,"ubiquitin domain-containing protein UBFD1-like, transcript variant X3","liver"
"LOC115144429",75.7192612011235,0.279459500280572,0.1185917966081,0.00128305159766614,0.0670100982935273,"vacuolar protein sorting-associated protein 26A-like","liver"
"LOC115104729",486.108115545581,0.277535078526527,0.090397224590654,0.000174624290901538,0.0410803644345867,"cytochrome b-c1 complex subunit 9-like","liver"
"LOC115140224",52.7166843119531,0.277246944588548,0.164299111692102,0.00474384521055585,0.112065899827608,"ran-specific GTPase-activating protein-like, transcript variant X1","liver"
"LOC115111478",57.7200190832153,0.275983147512695,0.242894393330545,0.00872090603093499,0.144818339560762,"small nuclear ribonucleoprotein Sm D3, transcript variant X1","liver"
"LOC115132995",1251.02889875504,0.275651813049434,0.239625072762609,0.0088375440965516,0.14558791872021,"ribose-phosphate pyrophosphokinase 2-like, transcript variant X1","liver"
"LOC115108384",39.7953581305831,0.275175588899693,0.136246923705272,0.00268647822754731,0.0922501561369391,"MOB kinase activator 3A","liver"
"LOC115128695",120.786028850858,0.272554470398131,0.122221826654765,0.0017394552370817,0.0768067701100784,"cytochrome b-c1 complex subunit 7-like","liver"
"LOC115142640",109.095304773969,0.272031904425194,0.0896860323059451,0.000199150237342664,0.0441858429543254,"protein dpy-30 homolog, transcript variant X1","liver"
"LOC115139699",778.561921895274,0.271888579803721,0.186447131770511,0.00677775061566883,0.13158210304148,"cysteine dioxygenase type 1-like","liver"
"LOC115112294",267.897940351861,0.271311330197888,0.185418069885204,0.00671986940254657,0.13158210304148,"probable ribosome biogenesis protein RLP24","liver"
"LOC115113623",192.360911133868,0.270799502151662,0.176322713884329,0.0061374982700116,0.127435511538104,"cytochrome c oxidase subunit 5A, mitochondrial-like","liver"
"LOC115106562",687.498094276931,0.270784100699817,0.102367845615439,0.00063059210200394,0.0525619517864729,"histone H3.3, transcript variant X3","liver"
"LOC115131603",1075.79265338979,0.26839005565867,0.20473924261939,0.00827231331784468,0.140730428172076,"40S ribosomal protein S18","liver"
